Sample_input,Actual,Proposed,Traditional
1,2124.273681640625,2013.5207967304548,2166.3623482737958
1,2030.8898925781252,2270.173783394999,2066.2327332390455
0,2020.5139160156252,2351.6216419765765,2140.145069930006
0,1709.2346191406252,2187.545885393315,1856.4290518165235
0,1823.3703613281252,1894.0732798184376,1869.9989607475268
0,1709.2346191406252,1957.3667354286206,1674.7731923619917
0,1543.2189941406252,1796.6231959667841,1500.5260184462877
0,1366.8273925781252,1764.3578511740027,1610.2961334038089
0,1522.4670410156252,1650.1447433672615,1509.7709592250728
0,1366.8273925781252,1306.2836422581975,1385.127813031356
0,1221.5637207031252,1479.2876636471417,1271.953623950945
0,1252.6916503906252,1558.7390304037635,1184.3547387898604
0,1190.4357910156252,1342.8916681266498,1046.7298794554606
0,1148.9318847656252,1536.6468452660256,1066.8803148079846
0,1117.8039550781252,1318.3573449021928,1044.292821448008
0,1148.9318847656252,1227.2430504090967,879.2370606633958
0,806.5246582031252,1503.8877425126368,971.025664727752
